parameter_name,Right total retinal thickness
pvalue,0.4406265
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_062_001
mouse_strain,C57BL
analysis_id,1f1p05wi0j917i4
gene_symbol,Pld1
gene_accession_id,MGI:109585
