gene_symbol,Ufc1
parameter_name,Total ab T cells - % of CD45+
analysis_id,1bmo1s174ps4zv8
mouse_life_stage,Early adult
parameter_id,MGP_MLN_063_001
gene_accession_id,MGI:1913405
pvalue,0.4033835
mouse_strain,C57BL
