analysis_id,973godpn1lb0nir
parameter_id,MGP_IMM_036_001
mouse_life_stage,E18.5
pvalue,0.8856067
gene_accession_id,MGI:1914309
gene_symbol,Ola1
parameter_name,KLRG1+ NK cells - % of NK cells
mouse_strain,C57BL
