analysis_id,9evpfzn2ssz86b0
gene_symbol,Cdin1
pvalue,1.137705
mouse_strain,C57BL
parameter_name,Total holepokes
parameter_id,JAXLA_HBD_001_001
mouse_life_stage,E9.5
gene_accession_id,MGI:3026886
