analysis_id,z03matn56c2p0fc
pvalue,0.3625061
parameter_id,IMPC_XRY_001_001
parameter_name,Skull shape
gene_symbol,AU040320
gene_accession_id,MGI:2140475
mouse_strain,C57BL
mouse_life_stage,Early adult
