parameter_id,IMPC_HWT_008_001
mouse_strain,C57BL
pvalue,0.6652319
analysis_id,39a8ew660lqe7ko
gene_accession_id,MGI:88328
mouse_life_stage,Early adult
parameter_name,Heart weight
gene_symbol,Tnfsf8
