parameter_name,Eosinophil cell count
analysis_id,uz9b60706hwk99g
gene_accession_id,MGI:1860103
mouse_strain,C57BL
gene_symbol,Slc2a8
parameter_id,IMPC_HEM_036_001
mouse_life_stage,Early adult
pvalue,0.8637731
