parameter_name,Red blood cell count
pvalue,0.6396079
gene_accession_id,MGI:1919935
gene_symbol,Dnajc6
mouse_strain,C56BL
parameter_id,ESLIM_016_001_002
analysis_id,8n957g356sjx3ft
mouse_life_stage,Early adult
