gene_symbol,Mov10
parameter_name,Retina (combined)
mouse_strain,C57BL
parameter_id,IMPC_EYE_092_002
gene_accession_id,MGI:97054
analysis_id,my7yjo1o2sl0m19
pvalue,0.0007405046
mouse_life_stage,Early adult
