gene_accession_id,MGI:109356
gene_symbol,Snap23
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_id,MGP_MLN_032_001
pvalue,0.3709277
parameter_name,Effector NK cells - % of NK cells
analysis_id,q09x035r34v0587
