gene_symbol,Tox
mouse_strain,C57BL
pvalue,0.722006
gene_accession_id,MGI:2181659
analysis_id,fr2p234415t195i
parameter_id,ESLIM_008_001_017
mouse_life_stage,Early adult
parameter_name,Limb grasping
