gene_symbol,Pum1
parameter_name,Plasmacytoid DC - % of DC
gene_accession_id,MGI:1931749
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,4532vu46dm9563h
pvalue,0.8471173
parameter_id,MGP_MLN_058_001
