gene_symbol,Trp53rkb
pvalue,0.6085984
mouse_life_stage,Early adult
analysis_id,990p2zmvsvzsg92
parameter_id,TCPLA_XRY_033_001
gene_accession_id,MGI:1914050
mouse_strain,C57BL
parameter_name,Tibia length
