parameter_name,BMC/Body weight
parameter_id,IMPC_DXA_007_001
pvalue,0.8663801
gene_accession_id,MGI:2181659
mouse_life_stage,Early adult
analysis_id,0c067x6jvos6rlw
mouse_strain,C57BL
gene_symbol,Tox
