analysis_id,af7250c1l2ai2d8
parameter_id,IMPC_GPP_004_001
gene_accession_id,MGI:1927232
mouse_strain,C57BL
gene_symbol,Rab13
pvalue,0.06615826
parameter_name,Placenta Size
mouse_life_stage,Early adult
