parameter_name,Total protein
pvalue,0.8966802
gene_accession_id,MGI:1922082
gene_symbol,Slc45a3
parameter_id,IMPC_CBC_006_001
analysis_id,6sg02yl991fp3w3
mouse_strain,C57BL
mouse_life_stage,Early adult
