gene_symbol,Rufy4
gene_accession_id,MGI:3588214
mouse_strain,C57BL
analysis_id,9px1jnov28491c2
pvalue,0.1442883
parameter_name,Skull shape
mouse_life_stage,Early adult
parameter_id,CCP_XRY_001_001
