gene_symbol,Tubb4b
parameter_id,IMPC_OWT_004_001
gene_accession_id,MGI:1915472
parameter_name,Right kidney weight
mouse_life_stage,Early adult
analysis_id,0007e4225u7zcwq
mouse_strain,C57BL
pvalue,0.5405645
