gene_symbol,Lurap1
parameter_name,Basophil cell count
pvalue,0.6044027
mouse_strain,C57BL
gene_accession_id,MGI:1915325
mouse_life_stage,Early adult
analysis_id,pl1877as88k9vt3
parameter_id,IMPC_HEM_037_001
