parameter_id,MGP_CSD_067_001
mouse_life_stage,Early adult
analysis_id,8ml53447f6g26q9
gene_symbol,Slc2a8
pvalue,0.08528857
mouse_strain,C57BL
parameter_name,Snout size
gene_accession_id,MGI:1860103
