parameter_name,Total bilirubin
analysis_id,94d7p3nub214ygj
mouse_life_stage,Early adult
pvalue,0.330597
parameter_id,IMPC_CBC_008_001
gene_accession_id,MGI:106100
mouse_strain,C57BL
gene_symbol,Etfdh
