parameter_name,Retinal Blood Vessels
mouse_strain,C57BL
parameter_id,IMPC_EYE_024_001
gene_accession_id,MGI:1929866
analysis_id,44ky3207e7762r0
mouse_life_stage,Early adult
gene_symbol,Rgs20
pvalue,0.2349922
