gene_symbol,Atrn
gene_accession_id,MGI:1341628
mouse_strain,C57BL
pvalue,0.3712571
analysis_id,3ght1qf7x1g8v8v
parameter_name,Hindlimb digit - size
parameter_id,IMPC_CSD_047_001
mouse_life_stage,Early adult
