analysis_id,geu25s2i92ufzml
mouse_life_stage,Early adult
parameter_id,HRWLLA_CSD_008_001
pvalue,0.8463394
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
mouse_strain,C57BL
parameter_name,Coat - color pattern - back
