parameter_name,Dark side time spent
Gene_accession_id,MGI:109356
Gene_symbol,Snap23
Mouse_strain,C57BL
parameter_id,JAX_LDT_004_001
Mouse_life_stage,Middle aged adult
Pvalue,0.2312002
Analysis_id,34w86j50a394s34
