gene_symbol,Uckl1
parameter_id,JAX_LDT_004_001
gene_accession_id,MGI:1915806
mouse_life_stage,Early adult
pvalue,0.3271817
analysis_id,4a28615z5rt4ifu
mouse_strain,C57BL
parameter_name,Dark side time spent
