parameter_name,Ulna
mouse_strain,C57BL
gene_accession_id,MGI:1341628
pvalue,0.6718864
analysis_id,w607e8e3245gha8
parameter_id,IMPC_XRY_023_001
mouse_life_stage,Early adult
gene_symbol,Atrn
