analysis_id,39pfcxa20zl9w40
parameter_name,CD8+ alpha beta T cell percentage
mouse_strain,C57BL
pvalue,0.5904981
parameter_id,MGP_PBI_004_001
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
gene_symbol,Inpp1
