gene_symbol,Mapkap1
mouse_strain,C57BL
parameter_id,ESLIM_008_001_013
mouse_life_stage,Early adult
pvalue,0.5821371
parameter_name,Startle response
gene_accession_id,MGI:2444554
analysis_id,m1r5ay5054l5m01
