gene_symbol,Fgb
mouse_life_stage,E15.5
pvalue,0.1804977
gene_accession_id,MGI:99501
parameter_name,Pericardium Morphology
parameter_id,IMPC_GEL_006_001
analysis_id,40a013tb1n3474x
mouse_strain,C57BL
