gene_symbol,Cdin1
mouse_life_stage,E9.5
gene_accession_id,MGI:3026886
mouse_strain,C57BL
pvalue,0.1273473
analysis_id,tftaf2wsnn0m388
parameter_name,Lumbar processes
parameter_id,IMPC_XRY_065_001
