gene_symbol,Morn5
analysis_id,u60y5ghb60e015f
pvalue,0.4678584
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1922745
parameter_name,Thoracic processes
parameter_id,IMPC_XRY_064_001
