parameter_name,Time mobile light side
parameter_id,JAX_LDT_003_001
analysis_id,14qjlrp18408r8n
gene_symbol,Zyg11b
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2685277
pvalue,0.0577716
