gene_symbol,Kdm4c
mouse_strain,C57BL
parameter_name,Coat - color pattern - back
pvalue,0.2248079
analysis_id,6x31itbd8mkg73k
parameter_id,HRWLLA_CSD_008_001
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
