analysis_id,hnc521n85p1y5at
parameter_name,Hemoglobin
gene_accession_id,MGI:104805
mouse_strain,C57BL
pvalue,0.7740826
parameter_id,IMPC_HEM_003_001
mouse_life_stage,Early adult
gene_symbol,Snrpb2
