analysis_id,10h17nz8952exo7
pvalue,0.1548114
parameter_name,Prepulse inhibition - PP2
parameter_id,ESLIM_011_001_702
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
