mouse_life_stage,Early adult
gene_symbol,Sema6c
gene_accession_id,MGI:1338032
mouse_strain,C57BL
parameter_name,Percent time in dark
pvalue,0.4572819
analysis_id,62irh3r2res2m5k
parameter_id,JAX_LDT_008_001
