analysis_id,ghg90mkc2n5mp60
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Head morphology
parameter_id,MGP_CSD_064_001
gene_accession_id,MGI:1914672
pvalue,0.8924592
gene_symbol,Dhdds
