gene_symbol,Dmap1
mouse_life_stage,E12.5
parameter_id,ESLIM_008_001_001
pvalue,1.342016
parameter_name,Body position
mouse_strain,C57BL
gene_accession_id,MGI:1913483
analysis_id,033xx079x277o37
