analysis_id,p3bgz2rctek3ku7
mouse_life_stage,Early adult
pvalue,0.1207562
parameter_name,Resting CD4+ T helper cells - % of CD45+
gene_accession_id,MGI:95835
parameter_id,MGP_MLN_067_001
mouse_strain,C57BL
gene_symbol,Hspa5
