gene_symbol,Zyg11b
pvalue,0.9910609
parameter_name,Ly6Clow monocyte number
parameter_id,MGP_PBI_038_001
gene_accession_id,MGI:2685277
mouse_strain,C57BL
analysis_id,8n5ka061fg1vhi7
mouse_life_stage,Early adult
