gene_symbol,Nanp
mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of gd T cells
gene_accession_id,MGI:1914561
parameter_id,MGP_IMM_022_001
pvalue,0.8998359
analysis_id,lfn33921t9uzl15
mouse_life_stage,E18.5
