parameter_name,Radius
parameter_id,IMPC_XRY_022_001
gene_symbol,Lamb3
mouse_strain,C57BL
analysis_id,5p7tg2jm3u8yi7n
pvalue,0.1156468
gene_accession_id,MGI:99915
mouse_life_stage,Early adult
