pvalue,3.66254e-09
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_078_001
gene_symbol,Trpa1
analysis_id,ka1tcm3ntm06oyy
gene_accession_id,MGI:3522699
parameter_name,Vocalization
