analysis_id,w0e4ld6ggfk69b8
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_009_001
parameter_name,Whole arena average speed
gene_accession_id,MGI:2674093
gene_symbol,Psd4
mouse_strain,C57BL
pvalue,0.2345612
