gene_symbol,Rgs20
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_048_001
analysis_id,yfz8e544cg2060p
parameter_name,Follicular B cells - % of B2 cells
gene_accession_id,MGI:1929866
pvalue,0.7068807
