analysis_id,o0o828nj16c1yxg
pvalue,0.4239244
parameter_name,Lean mass
gene_symbol,Cntfr
mouse_strain,C57BL
parameter_id,JAXLA_DXA_003_001
gene_accession_id,MGI:99605
mouse_life_stage,Early adult
