analysis_id,8dw573o779jt02f
gene_accession_id,MGI:1860103
mouse_life_stage,Early adult
pvalue,0.9390305
mouse_strain,C57BL
parameter_name,Startle response
gene_symbol,Slc2a8
parameter_id,MGP_CSD_008_001
