parameter_name,Alkaline phosphatase
gene_accession_id,MGI:2385884
mouse_strain,C57BL
gene_symbol,Ddx27
parameter_id,HRWLLA_CBC_014_001
analysis_id,kp5g561ox1l6w40
pvalue,0.2931481
mouse_life_stage,Early adult
