gene_symbol,Cisd2
mouse_strain,C57BL
parameter_name,Time mobile light side
analysis_id,w9yb2786b4hmrb9
parameter_id,JAX_LDT_003_001
mouse_life_stage,Early adult
pvalue,0.3697375
gene_accession_id,MGI:1914256
