analysis_id,906pkd578b6nwbh
mouse_strain,C57BL
parameter_name,Transitional B Cells (CD21/35 low)
gene_symbol,Snrpb2
gene_accession_id,MGI:104805
parameter_id,IMPC_IMM_069_001
pvalue,0.8240189
mouse_life_stage,Early adult
