parameter_id,TCPLA_GRS_011_001
mouse_life_stage,Early adult
pvalue,0.469105
mouse_strain,C57BL
gene_accession_id,MGI:1919137
analysis_id,o875444217uu8h0
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_symbol,Ppm1j
