analysis_id,9se74232sx55qqa
parameter_name,Fractional Shortening
gene_accession_id,MGI:1914515
mouse_life_stage,E9.5
parameter_id,IMPC_ECH_005_001
mouse_strain,C57BL
gene_symbol,Slc39a10
pvalue,0.1600022
