gene_symbol,Sema6c
pvalue,0.588815
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_004_001
analysis_id,3g946p50fsq9e5i
parameter_name,Urea (Blood Urea Nitrogen - BUN)
gene_accession_id,MGI:1338032
