parameter_name,Total cholesterol
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:3650254
analysis_id,1587wu83q06laha
pvalue,0.1567838
parameter_id,JAXLA_CBC_015_001
gene_symbol,Zfp683
