analysis_id,ynj521hf8r7e3tb
pvalue,0.7215677
gene_symbol,Mecom
mouse_life_stage,E12.5
parameter_name,Platelet count
mouse_strain,C57BL
parameter_id,IMPC_HEM_008_001
gene_accession_id,MGI:95457
