analysis_id,962k0u92351h0v6
gene_accession_id,MGI:109585
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6565173
parameter_name,Glucose
gene_symbol,Pld1
parameter_id,IMPC_CBC_018_001
