analysis_id,34it02v13pzg753
mouse_strain,C57BL
gene_symbol,Amigo1
pvalue,0.9113523
parameter_name,PP3 + pulse startle magnitude
mouse_life_stage,Early adult
gene_accession_id,MGI:2653612
parameter_id,ESLIM_011_001_009
