gene_symbol,Lime1
parameter_name,Coat - hair distribution - back
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_011_001
mouse_strain,C57BL
pvalue,0.79125
gene_accession_id,MGI:1919949
analysis_id,9a20o7h9mw352b5
