gene_symbol,Nanp
mouse_strain,C57BL
parameter_name,Center average speed
pvalue,0.3640184
gene_accession_id,MGI:1914561
parameter_id,JAXLA_OFD_017_001
mouse_life_stage,E18.5
analysis_id,4y0o4378g2r988a
