parameter_name,Phosphorus
mouse_strain,C57BL
analysis_id,mdg88206eud3qr0
gene_symbol,AU040320
gene_accession_id,MGI:2140475
mouse_life_stage,Late adult
parameter_id,HMGULA_CBC_010_001
pvalue,0.4022185
