analysis_id,59i789f9mu5ec74
mouse_life_stage,E12.5
parameter_id,MGP_IMM_072_001
gene_symbol,Mapkap1
pvalue,0.195181
gene_accession_id,MGI:2444554
parameter_name,CD4+ T helper cells - % of CD45+
mouse_strain,C57BL
