analysis_id,l97846075l873wj
parameter_name,Creatinine
mouse_strain,C57BL
pvalue,0.8722394
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
parameter_id,JAX_URI_002_001
mouse_life_stage,Middle aged adult
