gene_symbol,Secisbp2l
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
pvalue,0.08367426
parameter_id,IMPC_HEM_037_001
analysis_id,235w5528p25ch70
parameter_name,Basophil cell count
gene_accession_id,MGI:1917604
